0.1	2	0.8686	0.8305	0.0715	0.0065     
0.2	2	1.0188	0.8808	0.0838	0.0069
0.3	2	1.2113	0.9902	0.0996	0.0078
0.4	2	1.3712	1.2643	0.1128	0.0099
0.5	2	1.7217	2.4933	0.1416	0.0196
0.6	2	3.1306	5.2113	0.2575	0.0409
0.7	2	12.1559	127.4365	1.0000	1.0000
0.1	3	0.4146	0.4117	0.0599	0.0047
0.2	3	0.4622	0.4367	0.0668	0.0049
0.3	3	0.5610	0.4924	0.0810	0.0056
0.4	3	0.6985	0.6118	0.1009	0.0069
0.5	3	0.8843	1.3310	0.1277	0.0151
0.6	3	1.5845	2.2909	0.2288	0.0260
0.7	3	6.9238	88.2253	1.0000	1.0000
0.1	4	0.2073	0.2042	0.0609	0.0160
0.2	4	0.2288	0.2133	0.0672	0.0167
0.3	4	0.2619	0.2346	0.0769	0.0183
0.4	4	0.3197	0.2844	0.0939	0.0222
0.5	4	0.4044	0.5496	0.1187	0.0429
0.6	4	0.8290	0.9921	0.2434	0.0775
0.7	4	3.4062	12.8014	1.0000	1.0000
0.1	5	0.1054	0.1023	0.0573	0.0170
0.2	5	0.1160	0.1035	0.0631	0.0172
0.3	5	0.1314	0.1106	0.0714	0.0184
0.4	5	0.1713	0.1455	0.0931	0.0242
0.5	5	0.2009	0.2269	0.1092	0.0377
0.6	5	0.4551	0.5219	0.2475	0.0868
0.7	5	1.8391	6.0159	1.0000	1.0000
0.1	6	0.0510	0.0506	0.0688	0.0160
0.2	6	0.0539	0.0514	0.0727	0.0163
0.3	6	0.0615	0.0558	0.0830	0.0177
0.4	6	0.0796	0.0633	0.1074	0.0201
0.5	6	0.0875	0.0909	0.1181	0.0288
0.6	6	0.1758	0.1835	0.2372	0.0581
0.7	6	0.7411	3.1570	1.0000	1.0000
0.1	7	0.0257	0.0253	0.0465	0.0204
0.2	7	0.0268	0.0261	0.0485	0.0211
0.3	7	0.0302	0.0271	0.0546	0.0219
0.4	7	0.0373	0.0336	0.0675	0.0271
0.5	7	0.0536	0.0668	0.0969	0.0539
0.6	7	0.1131	0.1272	0.2045	0.1026
0.7	7	0.5530	1.2399	1.0000	1.0000
0.1	8	0.0124	0.0120	0.0804	0.0505
0.2	8	0.0129	0.0124	0.0836	0.0522
0.3	8	0.0143	0.0125	0.0927	0.0526
0.4	8	0.0174	0.0166	0.1128	0.0699
0.5	8	0.0235	0.0284	0.1523	0.1196
0.6	8	0.0409	0.0439	0.2651	0.1848
0.7	8	0.1543	0.2375	1.0000	1.0000
0.1	9	0.0068	0.0065	0.0790	0.0096
0.2	9	0.0073	0.0066	0.0848	0.0097
0.3	9	0.0083	0.0073	0.0964	0.0107
0.4	9	0.0106	0.0108	0.1231	0.0159
0.5	9	0.0149	0.0150	0.1731	0.0221
0.6	9	0.0316	0.0363	0.3670	0.0534
0.7	9	0.0861	0.6799	1.0000	1.0000
0.1	10	0.0035	0.0033	0.0723	0.0083
0.2	10	0.0039	0.0034	0.0806	0.0086
0.3	10	0.0040	0.0035	0.0826	0.0088
0.4	10	0.0046	0.0042	0.0950	0.0106
0.5	10	0.0064	0.0075	0.1322	0.0189
0.6	10	0.0110	0.0122	0.2273	0.0307
0.7	10	0.0484	0.3970	1.0000	1.0000
